Date;Secteur;Commentaire semaine;Commentaire jour;Code_entrée;Entrée;Code_plat;Plat;Code_légumes;Légumes;Code_laitage;Laitage;Code_dessert;Dessert;Code_gouter;Gouter;Code_gouter_02;Gouter_02;is_vege_day;Entrée_bio;Entrée_dur;Entrée_loc;Plat_bio;Plat_dur;Plat_loc;Légumes_bio;Légumes_dur;Légumes_loc;Laitage_bio;Laitage_dur;Laitage_loc;Dessert_bio;Dessert_dur;Dessert_loc;Gouter_bio;Gouter_dur;Gouter_loc;Gouter_02_bio;Gouter_02_dur;Gouter_02_loc;Année;AnnéeISO;Semaine;has_vege_week
2016-06-28;2;;;;Carottes floride (carotte râpée, dé d'orange);;Poulet rôti;;Frites;;Crme dessert vanille;;;;Pain/ compote de pommes/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;26;False
2016-06-29;3;;;;Asperges vinaigrette échalote;;Sauté de dinde louisianne;EBR;Purée de pommes de terre;;Emmenthal;FLS;Nectarine;;Yaourt/ cocktail de fruits;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;26;False
2016-06-30;3;;;FLS;Pastque;VPF;Saucisse rougail;AB;Riz créole;;;;Sorbet mangue/ passion;;Pain au lait/ jus de fruits;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;26;False
2016-07-01;1;;;;Salade verte/ maïs/ thon;VBF;Rôti de bœuf;AB;Courgettes provenales;;Saint Nectaire;FLS;Pche;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;26;False
2016-07-04;1;;REPAS DE SUBSTITUTION;;REPAS DE SUBSTITUTION;;REPAS DE SUBSTITUTION;;REPAS DE SUBSTITUTION;;REPAS DE SUBSTITUTION;;REPAS DE SUBSTITUTION;;GOóTER DE SUBSTITUTION;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;27;False
2016-07-05;1;;;FLS;Tomates à la croque;VPF;Rôti de porc;AB;Salade de pâtes;;Crme dessert au chocolat;;;;Pain/ confiture ou compote/ lait;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;27;False
2016-07-06;1;;;;Salade pommes de terre/ thon;VBF;Steak haché;;Petits pois;;Saint Paulin;FLS;Nectarine;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;27;False
2016-07-07;2;;;;Carottes râpées;;Rôti de dinde;;Haricots verts;;Carré frais;;Compote pommes/ fraises;FLS;Pain/ beurre/ pche/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;27;False
2016-07-08;2;;;FLS;Melon;;Filet de lieu sauce tomate;AB;Semoule;;Edam;;Banane;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;27;False
2016-07-11;1;;;;Thon/ pommes de terre;;Sauté de poulet colombo;FLS/AB;Courgettes provenales;;Camenbert;FLS;Pche;;Barre bretonne/ confiture/ lait;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;28;False
2016-07-12;1;;;AB;Taboulé;;Filet de saumon sauce hollandaise;;Brocolis;;Saint Nectaire;FLS;Abricots;;Pain/ beurre/ barre chocolatée/ lait;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;28;False
2016-07-13;1;;;FLS,AB;Tomates persillées;VBF;Rôti de bœuf;;Frites;;Fromage blanc sucré;;;;Pain au lait/ jus de fruits;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;28;False
2016-07-18;2;;;;Carottes aux dés d'ananas;;Filet de lieu sauce crevettes;AB;Riz pilaf;;Carré frais;FLS;Abricots;FLS;Barre bretonne/ pche/ lait;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;29;False
2016-07-19;1;;;FLS;Radis;VPF;Saucisse;AB;Choux braisés;;Semoule au lait;;;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;29;False
2016-07-20;1;;;FLS;Melon;VBF;Hachis parmentier;;Salade verte;;Yaourt à la pulpe de fruits;;;;Pain au lait/ jus de fruits;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;29;False
2016-07-21;2;;;FLS,AB;Concombre/ féta;;Rôti de veau au jus;;Haricots verts provenale;;Cône glacé;;;FLS;Pain/ beurre/ brugnon/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;29;False
2016-07-22;2;;;FLS,AB;Salade de tomates;;Poulet label rôti;;Jardinire fra”che;;Edam;FLS;Pche;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;29;False
2016-07-25;3;;;AB;Salade de pâtes;VBF;Sauté de bœuf aux olives;;Haricots beurre persillés;;Tome noire;FLS;Brugnon;FLS;Barre bretonne/ pche/ lait;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;30;False
2016-07-26;3;;;;Taboulé;;Filet de lieu sauce moules;FLS;Gratin d'épinards;;;;Far breton;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;30;False
2016-07-27;1;;;;Betteraves crues / œufs durs;AB,PLC;Couscous de légumes;;;;Crme vanille;;;;Pain au lait/ jus de fruits;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;30;False
2016-07-28;1;;;FLS;Pastque;VPF;Rôti de porc;;Frites;AB;Yaourt nature sucré;;;FLS;Pain/ beurre/ brugnon/ lait;;;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;2016;2016;30;False
2016-07-29;2;;;FLS,AB;Salade de tomates / Concombre;;Veau marengo;AB;Coquillettes;;Fromage fondu;FLS;Abricots;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;30;False
2016-08-01;2;;;;Carottes persillées;VPF;Escalope de porc charcutire;;Petits pois;;Riz au lait;;;FLS;Barre bretonne/ pche/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;31;False
2016-08-02;1;;;;Salade fromagre (salade verte, gruyre râpé);;Poulet label rôti;;Frites;;;FLS;Pche;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;31;False
2016-08-03;3;;;AB;Riz niois;;Poisson pané beurre citron;FLS,AB;Courgettes provenales;;Petits suisses;FLS;Abricots;;Pain au lait/ jus de fruits;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;31;False
2016-08-04;1;;;FLS;Melon;VBF;Rôti de bœuf;;Haricots verts;;Timbale glacée;;;FLS;Pain/ beurre/ brugnon/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;31;False
2016-08-05;2;;;;Betteraves cuites mimosa;PLC;Gratin de pommes de terre fromagé;;Salade verte;;;FLS;Brugnon;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;31;False
2016-08-08;2;;;FLS,AB;Concombre bulgare;;Filet de lieu sauce beurre blanc;;Pommes persillées;;Yaourt à la pulpe de fruits;;;FLS;Barre bretonne/ pche/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;32;False
2016-08-09;2;;;;Salade pasta (tagliatelle, tomate, haricot vert, poivron);VPF;Sauté de porc dijonnaise;;Salsifis panachés;;Camembert;FLS;Abricots;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;32;False
2016-08-10;3;;;FLS,AB;Salade de tomates;;Escalope de dinde au jus;;Gratin de brocolis;;Fromage blanc;;Sablé des flandres;;Pain au lait/ jus de fruits;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;32;False
2016-08-11;2;;;FLS;Radis;VBF;Hachis parmentier;;Salade verte;;Carré frais;FLS;Brugnon;FLS;Pain/ beurre/ abricots/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;32;False
